event_title,event_category,event_type,event_status,venue_name,venue_url,venue_address,venue_city,venue_country,venue_capacity,event_start_date,event_end_date,booking_opens,booking_closes,scraped_at,performance_schedule,performance_count,currency_code,price_range,seat_pricing_model,limited_run_flag,event_description,data_source
Skip to main content,Play,Theatre Performance,upcoming,Shakespeare's Globe,https://www.shakespearesglobe.com/whats-on/,"21 New Globe Walk, London",London,UK,1570,2026-05-23,2026-06-27,,,2026-05-26 14:32,"[{'date': '2026-05-23', 'time': '19:30'}]",1,GBP,{},{},True,"Discover things to do at Shakespeare's Globe in London: accessible plays, performances, guided tours, family events, talks, courses and more.",https://www.shakespearesglobe.com/whats-on/
Globe Theatre Guided Tour 26 May,Play,Theatre Performance,upcoming,Shakespeare's Globe,https://www.shakespearesglobe.com/whats-on/,"21 New Globe Walk, London",London,UK,1570,2026-05-23,2026-06-27,,,2026-05-26 14:32,"[{'date': '2026-05-23', 'time': '19:30'}]",1,GBP,{},{},True,"Discover things to do at Shakespeare's Globe in London: accessible plays, performances, guided tours, family events, talks, courses and more.",https://www.shakespearesglobe.com/whats-on/
Mother Courage and Her Children 26 May,Play,Theatre Performance,upcoming,Shakespeare's Globe,https://www.shakespearesglobe.com/whats-on/,"21 New Globe Walk, London",London,UK,1570,2026-05-23,2026-06-27,,,2026-05-26 14:32,"[{'date': '2026-05-23', 'time': '19:30'}]",1,GBP,{},{},True,"Discover things to do at Shakespeare's Globe in London: accessible plays, performances, guided tours, family events, talks, courses and more.",https://www.shakespearesglobe.com/whats-on/
A Midsummer Night's Dream 27 May,Play,Theatre Performance,upcoming,Shakespeare's Globe,https://www.shakespearesglobe.com/whats-on/,"21 New Globe Walk, London",London,UK,1570,2026-05-23,2026-06-27,,,2026-05-26 14:32,"[{'date': '2026-05-23', 'time': '19:30'}]",1,GBP,{},{},True,"Discover things to do at Shakespeare's Globe in London: accessible plays, performances, guided tours, family events, talks, courses and more.",https://www.shakespearesglobe.com/whats-on/
SEE MORE EVENTS,Play,Theatre Performance,upcoming,Shakespeare's Globe,https://www.shakespearesglobe.com/whats-on/,"21 New Globe Walk, London",London,UK,1570,2026-05-23,2026-06-27,,,2026-05-26 14:32,"[{'date': '2026-05-23', 'time': '19:30'}]",1,GBP,{},{},True,"Discover things to do at Shakespeare's Globe in London: accessible plays, performances, guided tours, family events, talks, courses and more.",https://www.shakespearesglobe.com/whats-on/
VISIT Plan your visit,Play,Theatre Performance,upcoming,Shakespeare's Globe,https://www.shakespearesglobe.com/whats-on/,"21 New Globe Walk, London",London,UK,1570,2026-05-23,2026-06-27,,,2026-05-26 14:32,"[{'date': '2026-05-23', 'time': '19:30'}]",1,GBP,{},{},True,"Discover things to do at Shakespeare's Globe in London: accessible plays, performances, guided tours, family events, talks, courses and more.",https://www.shakespearesglobe.com/whats-on/
OPENING HOURS,Play,Theatre Performance,upcoming,Shakespeare's Globe,https://www.shakespearesglobe.com/whats-on/,"21 New Globe Walk, London",London,UK,1570,2026-05-23,2026-06-27,,,2026-05-26 14:32,"[{'date': '2026-05-23', 'time': '19:30'}]",1,GBP,{},{},True,"Discover things to do at Shakespeare's Globe in London: accessible plays, performances, guided tours, family events, talks, courses and more.",https://www.shakespearesglobe.com/whats-on/
Food & Drink,Play,Theatre Performance,upcoming,Shakespeare's Globe,https://www.shakespearesglobe.com/whats-on/,"21 New Globe Walk, London",London,UK,1570,2026-05-23,2026-06-27,,,2026-05-26 14:32,"[{'date': '2026-05-23', 'time': '19:30'}]",1,GBP,{},{},True,"Discover things to do at Shakespeare's Globe in London: accessible plays, performances, guided tours, family events, talks, courses and more.",https://www.shakespearesglobe.com/whats-on/
Getting here,Play,Theatre Performance,upcoming,Shakespeare's Globe,https://www.shakespearesglobe.com/whats-on/,"21 New Globe Walk, London",London,UK,1570,2026-05-23,2026-06-27,,,2026-05-26 14:32,"[{'date': '2026-05-23', 'time': '19:30'}]",1,GBP,{},{},True,"Discover things to do at Shakespeare's Globe in London: accessible plays, performances, guided tours, family events, talks, courses and more.",https://www.shakespearesglobe.com/whats-on/
WATCH,Play,Theatre Performance,upcoming,Shakespeare's Globe,https://www.shakespearesglobe.com/whats-on/,"21 New Globe Walk, London",London,UK,1570,2026-05-23,2026-06-27,,,2026-05-26 14:32,"[{'date': '2026-05-23', 'time': '19:30'}]",1,GBP,{},{},True,"Discover things to do at Shakespeare's Globe in London: accessible plays, performances, guided tours, family events, talks, courses and more.",https://www.shakespearesglobe.com/whats-on/
